sub_category,download_size,speciality,origin_url,download_url,topic,course,department,course_id,department_id
Earth Science,14.02 MB,Atmospheric Science,https://ocw.mit.edu/courses/earth-atmospheric-and-planetary-sciences/12-812-general-circulation-of-the-earths-atmosphere-fall-2005/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/12/12-812-fall-2005/12-812-fall-2005.zip,Science,General Circulation of the Earth's Atmosphere,"Earth, Atmospheric, and Planetary Sciences",12-812-general-circulation-of-the-earths-atmosphere-fall-2005,earth-atmospheric-and-planetary-sciences
Algebra and Number Theory,11.63 MB,,https://ocw.mit.edu/courses/mathematics/18-725-algebraic-geometry-fall-2015/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/18/18-725-fall-2015/18-725-fall-2015.zip,Mathematics,Algebraic Geometry,Mathematics,18-725-algebraic-geometry-fall-2015,mathematics
Globalization,37.43 MB,,https://ocw.mit.edu/courses/economics/14-73-the-challenge-of-world-poverty-spring-2011/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/14/14-73-spring-2011/14-73-spring-2011.zip,Business,The Challenge of World Poverty,Economics,14-73-the-challenge-of-world-poverty-spring-2011,economics
Earth Science,18.70 MB,Geochemistry,https://ocw.mit.edu/courses/earth-atmospheric-and-planetary-sciences/12-091-medical-geology-geochemistry-an-exposure-january-iap-2006/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/12/12-091-january-iap-2006/12-091-january-iap-2006.zip,Science,Medical Geology/Geochemistry: An Exposure,"Earth, Atmospheric, and Planetary Sciences",12-091-medical-geology-geochemistry-an-exposure-january-iap-2006,earth-atmospheric-and-planetary-sciences
Probability and Statistics,7.54 MB,,https://ocw.mit.edu/courses/chemistry/5-72-statistical-mechanics-spring-2012/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/5/5-72-spring-2012/5-72-spring-2012.zip,Mathematics,Statistical Mechanics,Chemistry,5-72-statistical-mechanics-spring-2012,chemistry
Information Technology,11.96 MB,,https://ocw.mit.edu/courses/health-sciences-and-technology/hst-951j-medical-decision-support-fall-2005/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/HST/hst-951j-fall-2005/hst-951j-fall-2005.zip,Business,Medical Decision Support,Health Sciences and Technology,hst-951j-medical-decision-support-fall-2005,health-sciences-and-technology
Earth Science,10.17 MB,Oceanography,https://ocw.mit.edu/courses/earth-atmospheric-and-planetary-sciences/12-097-chemical-investigations-of-boston-harbor-january-iap-2006/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/12/12-097-january-iap-2006/12-097-january-iap-2006.zip,Science,Chemical Investigations of Boston Harbor,"Earth, Atmospheric, and Planetary Sciences",12-097-chemical-investigations-of-boston-harbor-january-iap-2006,earth-atmospheric-and-planetary-sciences
Probability and Statistics,11.62 MB,,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-017-computing-and-data-analysis-for-environmental-applications-fall-2003/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/1/1-017-fall-2003/1-017-fall-2003.zip,Mathematics,Computing and Data Analysis for Environmental Applications,Civil and Environmental Engineering,1-017-computing-and-data-analysis-for-environmental-applications-fall-2003,civil-and-environmental-engineering
Innovation,6.81 MB,,https://ocw.mit.edu/courses/health-sciences-and-technology/hst-939-designing-and-sustaining-technology-innovation-for-global-health-practice-spring-2008/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/HST/hst-939-spring-2008/hst-939-spring-2008.zip,Business,Designing and Sustaining Technology Innovation for Global Health Practice,Health Sciences and Technology,hst-939-designing-and-sustaining-technology-innovation-for-global-health-practice-spring-2008,health-sciences-and-technology
Earth Science,10.33 MB,Atmospheric Science,https://ocw.mit.edu/courses/earth-atmospheric-and-planetary-sciences/12-005-applications-of-continuum-mechanics-to-earth-atmospheric-and-planetary-sciences-spring-2006/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/12/12-005-spring-2006/12-005-spring-2006.zip,Science,"Applications of Continuum Mechanics to Earth, Atmospheric, and Planetary Sciences","Earth, Atmospheric, and Planetary Sciences",12-005-applications-of-continuum-mechanics-to-earth-atmospheric-and-planetary-sciences-spring-2006,earth-atmospheric-and-planetary-sciences
Probability and Statistics,9.15 MB,,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-151-probability-and-statistics-in-engineering-spring-2005/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/1/1-151-spring-2005/1-151-spring-2005.zip,Mathematics,Probability and Statistics in Engineering,Civil and Environmental Engineering,1-151-probability-and-statistics-in-engineering-spring-2005,civil-and-environmental-engineering
Information Technology,10.50 MB,,https://ocw.mit.edu/courses/health-sciences-and-technology/hst-921-information-technology-in-the-health-care-system-of-the-future-spring-2009/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/HST/hst-921-spring-2009/hst-921-spring-2009.zip,Business,Information Technology in the Health Care System of the Future,Health Sciences and Technology,hst-921-information-technology-in-the-health-care-system-of-the-future-spring-2009,health-sciences-and-technology
